Transaction_ID,Date,Time,DateTime,Month,Quarter,Day_of_Week,Hour,WeekDay,WeekNumber,Is_Weekend,Is_Night_Txn,Sender_UPI,Receiver_UPI,Sender_Bank,Receiver_Bank,Sender_State,Receiver_State,Cross_State_Txn,Amount_INR,Amount_INR_Capped,Amount_Category,Transaction_Type,UPI_App,Device_Type,Is_Fraud,Fraud_Type,Fraud_Flag,Response_Time_Sec,Login_Attempts,New_Device_Used,Odd_Hour_Txn,Risk_Score,Risk_Label,Fraud_Velocity
TXN0002820,2024-01-02,14:25:21,2024-01-02 14:25:21,January,Q1,Tuesday,14,Tuesday,1,0,0,anita882@oksbi,rekha960@axisbank,Icici,Axis,Haryana,Kerala,1,4736.04,4736.04,Medium (₹2K-10K),Recharge,Amazon Pay,Android,0,,LEGITIMATE,50,1,1,0,17.9,Low,0
TXN0004392,2024-01-02,15:40:21,2024-01-02 15:40:21,January,Q1,Tuesday,15,Tuesday,1,0,0,ravi788@axisbank,sunita651@apl,Yes Bank,Axis,Gujarat,Telangana,1,2402.5,2402.5,Medium (₹2K-10K),P2M,Google Pay,Android,0,,LEGITIMATE,8,1,0,0,13.1,Low,0
TXN0001233,2024-01-02,15:54:13,2024-01-02 15:54:13,January,Q1,Tuesday,15,Tuesday,1,0,0,sunita635@axisbank,ashok141@ybl,Sbi,Axis,Tamil Nadu,Rajasthan,1,6238.71,6238.71,Medium (₹2K-10K),Recharge,Mobikwik,Android,0,,LEGITIMATE,46,2,0,0,22.1,Low,0
TXN0001770,2024-01-02,16:38:27,2024-01-02 16:38:27,January,Q1,Tuesday,16,Tuesday,1,0,0,neha713@apl,manish680@okhdfcbank,Yes Bank,Icici,Haryana,Odisha,1,4709.59,4709.59,Medium (₹2K-10K),P2P,Whatsapp Pay,Web,0,,LEGITIMATE,18,2,0,0,39.5,Medium,0
TXN0003207,2024-01-02,18:22:49,2024-01-02 18:22:49,January,Q1,Tuesday,18,Tuesday,1,0,0,suresh989@paytm,amit683@okhdfcbank,Axis,Union Bank,Karnataka,Karnataka,0,13630.5,13630.5,Large (₹10K-50K),Recharge,Mobikwik,Ios,0,,LEGITIMATE,22,1,0,0,26.0,Medium,0
TXN0003602,2024-01-02,18:47:07,2024-01-02 18:47:07,January,Q1,Tuesday,18,Tuesday,1,0,0,meena178@ybl,sanjay930@icici,Pnb,Bob,Bihar,Telangana,1,356.68,356.68,Micro (<₹500),Investment,Bhim,Web,0,,LEGITIMATE,23,1,1,0,32.3,Medium,0
TXN0000874,2024-01-02,18:56:33,2024-01-02 18:56:33,January,Q1,Tuesday,18,Tuesday,1,0,0,ashok628@axisbank,rekha789@oksbi,Canara,Union Bank,Tamil Nadu,Tamil Nadu,0,100000.0,100000.0,High (₹50K-2L),P2P,Paytm,Android,0,,LEGITIMATE,48,2,1,0,18.7,Low,0
TXN0001722,2024-01-02,19:39:36,2024-01-02 19:39:36,January,Q1,Tuesday,19,Tuesday,1,0,0,rekha102@axisbank,sunita338@icici,Icici,Kotak,Delhi,Delhi,0,4051.55,4051.55,Medium (₹2K-10K),Emi,Google Pay,Ios,0,,LEGITIMATE,25,1,1,0,28.6,Medium,0
TXN0000505,2024-01-02,20:14:38,2024-01-02 20:14:38,January,Q1,Tuesday,20,Tuesday,1,0,0,meena410@okhdfcbank,anita439@apl,Pnb,Sbi,Punjab,Rajasthan,1,36659.92,36659.92,Large (₹10K-50K),Investment,Mobikwik,Android,0,,LEGITIMATE,52,2,1,0,39.5,Medium,0
TXN0004507,2024-01-02,20:32:37,2024-01-02 20:32:37,January,Q1,Tuesday,20,Tuesday,1,0,0,neha436@paytm,kavitha57@okhdfcbank,Union Bank,Union Bank,West Bengal,Telangana,1,7500.43,7500.43,Medium (₹2K-10K),P2M,Paytm,Android,0,,LEGITIMATE,12,2,0,0,35.0,Medium,0
TXN0001091,2024-01-02,20:59:34,2024-01-02 20:59:34,January,Q1,Tuesday,20,Tuesday,1,0,0,amit26@paytm,manish665@oksbi,Kotak,Sbi,Punjab,Bihar,1,14791.21,14791.21,Large (₹10K-50K),P2P,Mobikwik,Android,0,,LEGITIMATE,45,2,0,0,2.4,Low,0
TXN0001593,2024-01-02,21:06:59,2024-01-02 21:06:59,January,Q1,Tuesday,21,Tuesday,1,0,0,anita335@ybl,suresh427@oksbi,Pnb,Axis,West Bengal,Haryana,1,3059.49,3059.49,Medium (₹2K-10K),P2P,Paytm,Android,0,,LEGITIMATE,55,2,0,0,14.5,Low,0
TXN0001643,2024-01-02,21:39:08,2024-01-02 21:39:08,January,Q1,Tuesday,21,Tuesday,1,0,0,amit57@ybl,dinesh426@icici,Canara,Pnb,Gujarat,Rajasthan,1,11156.69,11156.69,Large (₹10K-50K),P2P,Google Pay,Ios,0,,LEGITIMATE,30,2,1,0,35.1,Medium,0
TXN0003334,2024-01-02,22:03:50,2024-01-02 22:03:50,January,Q1,Tuesday,22,Tuesday,1,0,0,nisha335@ybl,amit555@paytm,Kotak,Bob,Gujarat,Uttar Pradesh,1,71605.35,71605.35,High (₹50K-2L),P2P,Paytm,Ios,0,,LEGITIMATE,54,1,0,0,28.1,Medium,0
TXN0003247,2024-01-03,05:37:01,2024-01-03 05:37:01,January,Q1,Wednesday,5,Wednesday,1,0,1,sunita145@okhdfcbank,ravi373@paytm,Canara,Canara,Tamil Nadu,Rajasthan,1,7111.6,7111.6,Medium (₹2K-10K),Emi,Mobikwik,Web,1,OTP Fraud,FRAUD,3,9,1,1,96.6,Critical,1
TXN0001100,2024-01-03,06:56:42,2024-01-03 06:56:42,January,Q1,Wednesday,6,Wednesday,1,0,0,amit226@upi,neha411@oksbi,Pnb,Axis,Bihar,Telangana,1,27020.54,27020.54,Large (₹10K-50K),Recharge,Mobikwik,Ios,0,,LEGITIMATE,12,2,0,0,20.8,Low,0
TXN0001323,2024-01-03,07:25:25,2024-01-03 07:25:25,January,Q1,Wednesday,7,Wednesday,1,0,0,pooja445@oksbi,anita46@icici,Bob,Union Bank,Uttar Pradesh,Maharashtra,1,51918.2,51918.2,High (₹50K-2L),P2M,Mobikwik,Ios,0,,LEGITIMATE,8,2,0,0,29.5,Medium,0
TXN0001948,2024-01-03,07:27:04,2024-01-03 07:27:04,January,Q1,Wednesday,7,Wednesday,1,0,0,rajesh610@icici,vikram112@upi,Canara,Canara,Haryana,Odisha,1,4474.98,4474.98,Medium (₹2K-10K),Investment,Whatsapp Pay,Web,0,,LEGITIMATE,28,1,0,0,22.4,Low,0
TXN0002857,2024-01-03,08:03:09,2024-01-03 08:03:09,January,Q1,Wednesday,8,Wednesday,1,0,0,nisha465@icici,nisha350@apl,Kotak,Hdfc,Haryana,Maharashtra,1,1076.67,1076.67,Small (₹500-2K),Investment,Whatsapp Pay,Android,0,,LEGITIMATE,36,1,1,0,13.7,Low,0
TXN0003384,2024-01-03,08:14:13,2024-01-03 08:14:13,January,Q1,Wednesday,8,Wednesday,1,0,0,sanjay15@ybl,manish905@apl,Icici,Yes Bank,Karnataka,Kerala,1,100000.0,100000.0,High (₹50K-2L),P2P,Amazon Pay,Web,0,,LEGITIMATE,13,1,0,0,35.4,Medium,0
TXN0004072,2024-01-03,08:38:14,2024-01-03 08:38:14,January,Q1,Wednesday,8,Wednesday,1,0,0,sanjay503@icici,deepa399@apl,Hdfc,Sbi,Bihar,Rajasthan,1,740.9,740.9,Small (₹500-2K),Bill Payment,Paytm,Ios,0,,LEGITIMATE,46,2,0,0,13.4,Low,0
TXN0001421,2024-01-03,11:08:14,2024-01-03 11:08:14,January,Q1,Wednesday,11,Wednesday,1,0,0,vikram566@icici,neha180@icici,Bob,Icici,Tamil Nadu,Telangana,1,2029.93,2029.93,Medium (₹2K-10K),Recharge,Google Pay,Web,0,,LEGITIMATE,12,2,1,0,12.1,Low,0
TXN0003140,2024-01-03,13:27:26,2024-01-03 13:27:26,January,Q1,Wednesday,13,Wednesday,1,0,0,kavitha583@apl,priya388@paytm,Axis,Union Bank,Madhya Pradesh,West Bengal,1,694.78,694.78,Small (₹500-2K),P2M,Mobikwik,Android,0,,LEGITIMATE,38,1,0,0,23.6,Low,0
TXN0002058,2024-01-03,15:23:28,2024-01-03 15:23:28,January,Q1,Wednesday,15,Wednesday,1,0,0,dinesh504@apl,dinesh955@paytm,Pnb,Bob,Telangana,Kerala,1,14860.21,14860.21,Large (₹10K-50K),Bill Payment,Amazon Pay,Android,0,,LEGITIMATE,10,1,0,0,32.8,Medium,0
TXN0004702,2024-01-03,15:28:06,2024-01-03 15:28:06,January,Q1,Wednesday,15,Wednesday,1,0,0,ravi506@axisbank,ashok130@upi,Yes Bank,Union Bank,Odisha,West Bengal,1,1476.42,1476.42,Small (₹500-2K),Emi,Phonepe,Web,1,Vishing,FRAUD,4,3,1,0,93.9,Critical,1
TXN0001510,2024-01-03,15:40:22,2024-01-03 15:40:22,January,Q1,Wednesday,15,Wednesday,1,0,0,priya175@paytm,arun410@apl,Bob,Union Bank,Tamil Nadu,Telangana,1,8510.76,8510.76,Medium (₹2K-10K),P2M,Amazon Pay,Ios,0,,LEGITIMATE,44,1,0,0,30.7,Medium,0
TXN0002463,2024-01-03,16:19:59,2024-01-03 16:19:59,January,Q1,Wednesday,16,Wednesday,1,0,0,pooja40@oksbi,sunita486@ybl,Yes Bank,Hdfc,Uttar Pradesh,Uttar Pradesh,0,20707.72,20707.72,Large (₹10K-50K),P2P,Mobikwik,Ios,0,,LEGITIMATE,47,2,0,0,34.3,Medium,0
TXN0002194,2024-01-03,18:07:42,2024-01-03 18:07:42,January,Q1,Wednesday,18,Wednesday,1,0,0,arun766@upi,neha733@upi,Axis,Icici,Gujarat,Punjab,1,13505.93,13505.93,Large (₹10K-50K),Investment,Mobikwik,Web,0,,LEGITIMATE,14,2,0,0,23.6,Low,0
TXN0000667,2024-01-03,20:38:10,2024-01-03 20:38:10,January,Q1,Wednesday,20,Wednesday,1,0,0,amit359@axisbank,anita644@oksbi,Axis,Axis,Haryana,Delhi,1,18542.03,18542.03,Large (₹10K-50K),Bill Payment,Bhim,Web,0,,LEGITIMATE,26,1,0,0,37.2,Medium,0
TXN0000969,2024-01-03,22:13:51,2024-01-03 22:13:51,January,Q1,Wednesday,22,Wednesday,1,0,0,neha725@okhdfcbank,vikram195@okhdfcbank,Pnb,Union Bank,Haryana,Haryana,0,1250.57,1250.57,Small (₹500-2K),P2M,Paytm,Android,0,,LEGITIMATE,23,1,0,0,5.9,Low,0
TXN0003656,2024-01-03,22:40:59,2024-01-03 22:40:59,January,Q1,Wednesday,22,Wednesday,1,0,0,vikram73@upi,manish366@okhdfcbank,Kotak,Pnb,Haryana,Punjab,1,6838.88,6838.88,Medium (₹2K-10K),Emi,Mobikwik,Web,0,,LEGITIMATE,13,2,0,0,12.7,Low,0
TXN0002676,2024-01-04,06:21:26,2024-01-04 06:21:26,January,Q1,Thursday,6,Thursday,1,0,0,dinesh356@paytm,arun610@oksbi,Kotak,Canara,Odisha,Odisha,0,3444.29,3444.29,Medium (₹2K-10K),Bill Payment,Google Pay,Ios,0,,LEGITIMATE,11,2,0,0,26.2,Medium,0
TXN0004043,2024-01-04,08:49:03,2024-01-04 08:49:03,January,Q1,Thursday,8,Thursday,1,0,0,meena743@axisbank,suresh363@upi,Axis,Kotak,West Bengal,Bihar,1,45456.36,45456.36,Large (₹10K-50K),Bill Payment,Amazon Pay,Ios,0,,LEGITIMATE,16,1,0,0,14.9,Low,0
TXN0002454,2024-01-04,09:08:26,2024-01-04 09:08:26,January,Q1,Thursday,9,Thursday,1,0,0,arun541@apl,rajesh295@okhdfcbank,Axis,Canara,Telangana,Karnataka,1,93987.99,93987.99,High (₹50K-2L),Investment,Mobikwik,Web,0,,LEGITIMATE,26,1,0,0,14.0,Low,0
TXN0002151,2024-01-04,09:57:43,2024-01-04 09:57:43,January,Q1,Thursday,9,Thursday,1,0,0,kavitha385@apl,priya767@axisbank,Union Bank,Yes Bank,West Bengal,Madhya Pradesh,1,1518.1,1518.1,Small (₹500-2K),P2P,Amazon Pay,Ios,0,,LEGITIMATE,48,2,0,0,17.5,Low,0
TXN0002556,2024-01-04,10:18:18,2024-01-04 10:18:18,January,Q1,Thursday,10,Thursday,1,0,0,dinesh826@icici,deepa540@icici,Union Bank,Sbi,Odisha,Punjab,1,3680.33,3680.33,Medium (₹2K-10K),Emi,Google Pay,Ios,0,,LEGITIMATE,37,1,1,0,17.9,Low,0
TXN0002378,2024-01-04,10:56:03,2024-01-04 10:56:03,January,Q1,Thursday,10,Thursday,1,0,0,rajesh294@paytm,arun133@oksbi,Canara,Yes Bank,Punjab,Punjab,0,23083.07,23083.07,Large (₹10K-50K),P2M,Google Pay,Android,0,,LEGITIMATE,31,1,1,0,19.6,Low,0
TXN0000295,2024-01-04,15:55:56,2024-01-04 15:55:56,January,Q1,Thursday,15,Thursday,1,0,0,dinesh237@upi,arun727@okhdfcbank,Bob,Kotak,Punjab,Bihar,1,29171.93,29171.93,Large (₹10K-50K),P2P,Paytm,Web,0,,LEGITIMATE,60,1,0,0,36.3,Medium,0
TXN0003946,2024-01-04,18:57:44,2024-01-04 18:57:44,January,Q1,Thursday,18,Thursday,1,0,0,arun210@apl,manish610@ybl,Canara,Union Bank,Gujarat,Odisha,1,8318.05,8318.05,Medium (₹2K-10K),P2M,Whatsapp Pay,Ios,0,,LEGITIMATE,16,2,0,0,29.0,Medium,0
TXN0001495,2024-01-04,20:28:14,2024-01-04 20:28:14,January,Q1,Thursday,20,Thursday,1,0,0,meena929@icici,ashok323@ybl,Canara,Axis,Gujarat,Karnataka,1,3086.14,3086.14,Medium (₹2K-10K),P2P,Mobikwik,Web,0,,LEGITIMATE,17,1,1,0,25.8,Medium,0
TXN0003846,2024-01-05,00:28:14,2024-01-05 00:28:14,January,Q1,Friday,0,Friday,1,0,1,amit393@oksbi,deepa45@upi,Icici,Yes Bank,Punjab,Punjab,0,203931.25,203931.25,Very High (>₹2L),Bill Payment,Paytm,Ios,1,Phishing,FRAUD,3,10,1,1,93.0,Critical,1
TXN0001296,2024-01-05,06:37:05,2024-01-05 06:37:05,January,Q1,Friday,6,Friday,1,0,0,vikram980@axisbank,sanjay373@axisbank,Kotak,Icici,Gujarat,Karnataka,1,18680.42,18680.42,Large (₹10K-50K),Investment,Paytm,Web,0,,LEGITIMATE,18,2,1,0,1.3,Low,0
TXN0001027,2024-01-05,07:16:21,2024-01-05 07:16:21,January,Q1,Friday,7,Friday,1,0,0,ravi34@upi,nisha812@axisbank,Union Bank,Sbi,Madhya Pradesh,Bihar,1,13812.45,13812.45,Large (₹10K-50K),Investment,Amazon Pay,Android,0,,LEGITIMATE,55,2,0,0,13.7,Low,0
TXN0001059,2024-01-05,07:32:39,2024-01-05 07:32:39,January,Q1,Friday,7,Friday,1,0,0,kavitha66@okhdfcbank,deepa308@okhdfcbank,Yes Bank,Hdfc,Maharashtra,Gujarat,1,14590.51,14590.51,Large (₹10K-50K),P2M,Phonepe,Ios,0,,LEGITIMATE,7,1,0,0,38.3,Medium,0
TXN0003035,2024-01-05,08:50:04,2024-01-05 08:50:04,January,Q1,Friday,8,Friday,1,0,0,nisha630@okhdfcbank,ravi445@paytm,Pnb,Hdfc,Gujarat,Punjab,1,1866.42,1866.42,Small (₹500-2K),Investment,Phonepe,Web,0,,LEGITIMATE,12,2,0,0,17.4,Low,0
TXN0004251,2024-01-05,09:48:18,2024-01-05 09:48:18,January,Q1,Friday,9,Friday,1,0,0,vikram653@oksbi,suresh771@okhdfcbank,Hdfc,Kotak,Rajasthan,Karnataka,1,16653.75,16653.75,Large (₹10K-50K),P2P,Phonepe,Android,0,,LEGITIMATE,20,1,1,0,20.0,Low,0
TXN0004001,2024-01-05,09:56:49,2024-01-05 09:56:49,January,Q1,Friday,9,Friday,1,0,0,suresh168@upi,sanjay206@oksbi,Bob,Yes Bank,Punjab,Haryana,1,7277.41,7277.41,Medium (₹2K-10K),Investment,Google Pay,Ios,0,,LEGITIMATE,59,1,0,0,18.4,Low,0
TXN0004177,2024-01-05,10:25:56,2024-01-05 10:25:56,January,Q1,Friday,10,Friday,1,0,0,nisha624@icici,sanjay139@apl,Kotak,Icici,Madhya Pradesh,Uttar Pradesh,1,3241.62,3241.62,Medium (₹2K-10K),P2M,Phonepe,Android,0,,LEGITIMATE,33,1,0,0,2.0,Low,0
TXN0000814,2024-01-05,11:58:31,2024-01-05 11:58:31,January,Q1,Friday,11,Friday,1,0,0,meena575@ybl,pooja80@okhdfcbank,Icici,Pnb,Tamil Nadu,West Bengal,1,200803.48,200803.48,Very High (>₹2L),P2M,Bhim,Web,1,Vishing,FRAUD,3,10,1,0,95.6,Critical,1
TXN0002073,2024-01-05,13:59:08,2024-01-05 13:59:08,January,Q1,Friday,13,Friday,1,0,0,meena487@axisbank,meena447@paytm,Canara,Hdfc,Punjab,Telangana,1,27745.62,27745.62,Large (₹10K-50K),Recharge,Phonepe,Android,0,,LEGITIMATE,48,2,1,0,14.4,Low,0
TXN0000588,2024-01-05,15:38:13,2024-01-05 15:38:13,January,Q1,Friday,15,Friday,1,0,0,arun223@okhdfcbank,deepa285@okhdfcbank,Pnb,Axis,West Bengal,Kerala,1,100000.0,100000.0,High (₹50K-2L),Investment,Phonepe,Ios,0,,LEGITIMATE,40,1,0,0,23.4,Low,0
TXN0001913,2024-01-05,15:44:43,2024-01-05 15:44:43,January,Q1,Friday,15,Friday,1,0,0,rajesh889@ybl,suresh636@icici,Kotak,Union Bank,Bihar,Madhya Pradesh,1,4949.65,4949.65,Medium (₹2K-10K),P2M,Bhim,Ios,0,,LEGITIMATE,18,2,0,0,19.7,Low,0
TXN0001392,2024-01-05,16:58:44,2024-01-05 16:58:44,January,Q1,Friday,16,Friday,1,0,0,rajesh692@paytm,vikram173@ybl,Sbi,Sbi,Karnataka,Tamil Nadu,1,48921.0,48921.0,Large (₹10K-50K),Recharge,Phonepe,Android,0,,LEGITIMATE,37,2,0,0,29.9,Medium,0
TXN0001989,2024-01-05,21:53:05,2024-01-05 21:53:05,January,Q1,Friday,21,Friday,1,0,0,pooja800@icici,rajesh143@paytm,Icici,Icici,Odisha,Haryana,1,4256.21,4256.21,Medium (₹2K-10K),Investment,Paytm,Web,0,,LEGITIMATE,30,1,0,0,10.6,Low,0
TXN0002241,2024-01-05,21:56:51,2024-01-05 21:56:51,January,Q1,Friday,21,Friday,1,0,0,suresh297@okhdfcbank,vikram791@axisbank,Pnb,Pnb,West Bengal,Maharashtra,1,8086.48,8086.48,Medium (₹2K-10K),Investment,Phonepe,Ios,1,Fake UPI Link,FRAUD,5,8,1,0,80.0,Critical,1
TXN0002643,2024-01-06,06:00:21,2024-01-06 06:00:21,January,Q1,Saturday,6,Saturday,1,1,0,ravi468@icici,deepa996@upi,Sbi,Pnb,Kerala,Telangana,1,330210.29,330210.29,Very High (>₹2L),Emi,Whatsapp Pay,Android,1,SIM Swap,FRAUD,1,3,1,0,95.1,Critical,1
TXN0001000,2024-01-06,07:32:29,2024-01-06 07:32:29,January,Q1,Saturday,7,Saturday,1,1,0,deepa865@icici,sunita92@upi,Kotak,Icici,Odisha,Uttar Pradesh,1,6572.28,6572.28,Medium (₹2K-10K),P2P,Phonepe,Web,0,,LEGITIMATE,6,1,0,0,3.1,Low,0
TXN0003747,2024-01-06,07:51:18,2024-01-06 07:51:18,January,Q1,Saturday,7,Saturday,1,1,0,suresh101@upi,amit406@upi,Yes Bank,Canara,Bihar,Rajasthan,1,6862.18,6862.18,Medium (₹2K-10K),Emi,Bhim,Web,0,,LEGITIMATE,18,1,0,0,25.8,Medium,0
TXN0002438,2024-01-06,12:21:10,2024-01-06 12:21:10,January,Q1,Saturday,12,Saturday,1,1,0,suresh480@okhdfcbank,amit821@apl,Icici,Union Bank,Rajasthan,Delhi,1,20306.64,20306.64,Large (₹10K-50K),Bill Payment,Mobikwik,Ios,0,,LEGITIMATE,28,1,0,0,22.6,Low,0
